PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	EY	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Lacy-Jones, Kristin; Hayward, Philip; Andrews, Steve; Gledhill, Ian; McAllister, Mark; Abrahamsson, Bertil; Rostami-Hodjegan, Amin; Pepin, Xavier								Biopharmaceutics data management system for anonymised data sharing and curation: First application with orbito IMI project								COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE				140				29	44		10.1016/j.cmpb.2016.11.006					MAR 2017	2017										2	0	0	1	0	2			0169-2607	1872-7565		WOS:000397074300005	28254086	
J	Chen, Zuo-Ning; Chen, Kang; Jiang, Jin-Lei; Zhang, Lu-Fei; Wu, Song; Qi, Zheng-Wei; Hu, Chun-Ming; Wu, Yong-Wei; Sun, Yu-Zhong; Tang, Hong; Sun, Ao-Bing; Kang, Zi-Lu				Jiang, Jinlei/Y-6000-2018				Evolution of Cloud Operating System: From Technology to Ecosystem								JOURNAL OF COMPUTER SCIENCE AND TECHNOLOGY				32	2			224	241		10.1007/S11390-017-1717-z					MAR 2017	2017										0	0	0	0	0	0			1000-9000	1860-4749		WOS:000397835500003		
J	Ouni, Ali; Kula, Raula Gaikovina; Kessentini, Marouane; Ishio, Takashi; German, Daniel M.; Inoue, Katsuro					Ouni, Ali/0000-0003-4708-0362			Search-based software library recommendation using multi-objective optimization								INFORMATION AND SOFTWARE TECHNOLOGY				83				55	75		10.1016/j.infsof.2016.11.007					MAR 2017	2017										8	0	0	0	0	8			0950-5849	1873-6025		WOS:000393006700004		
J	Moreno, Laura; Bavota, Gabriele; Di Penta, Massimiliano; Oliveto, Rocco; Marcus, Andrian; Canfora, Gerardo					Canfora, Gerardo/0000-0003-0049-1279			ARENA: An Approach for the Automated Generation of Release Notes								IEEE TRANSACTIONS ON SOFTWARE ENGINEERING				43	2			106	127		10.1109/TSE.2016.2591536					FEB 1 2017	2017										7	0	0	0	0	7			0098-5589	1939-3520		WOS:000395735900001		
S	Papaioannou, Panagiotis; Dionysopoulos, Thomas; Russo, Lucia; Giannino, Francesco; Janetzko, Dietmar; Siettos, Constantinos				giannino, francesco/F-4168-2011	giannino, francesco/0000-0001-6860-1767	Shakshuki, E		S&P500 Forecasting and trading using convolution analysis of major asset classes								8TH INTERNATIONAL CONFERENCE ON EMERGING UBIQUITOUS SYSTEMS AND PERVASIVE NETWORKS (EUSPN 2017) / 7TH INTERNATIONAL CONFERENCE ON CURRENT AND FUTURE TRENDS OF INFORMATION AND COMMUNICATION TECHNOLOGIES IN HEALTHCARE (ICTH-2017) / AFFILIATED WORKSHOPS		Procedia Computer Science		113				484	489		10.1016/j.procs.2017.08.307					2017	2017						8th International Conference on Emerging Ubiquitous Systems and Pervasive Networks (EUSPN) / 7th International Conference on Current and Future Trends of Information and Communication Technologies in Healthcare (ICTH)8th International Conference on Emerging Ubiquitous Systems and Pervasive Networks (EUSPN) / 7th International Conference on Current and Future Trends of Information and Communication Technologies in Healthcare (ICTH)	SEP 18-20, 2017SEP 18-20, 2017		Lund, SWEDENLund, SWEDEN	0	0	0	0	0	0			1877-0509		*****************	WOS:000419236500064		
S	Meiliana; Irmanti, Devita; Hidayat, Mochamad Rizal; Amalina, Nur Viani; Suryani, Dewi						Budiharto, W; Wulandhari, LA; Gunawan, AAS; Chowanda, A; Ham, H; Meiliana; Suryani, D; Hanafiah, N		Mobile Smart Travelling Application For Indonesia Tourism								DISCOVERY AND INNOVATION OF COMPUTER SCIENCE TECHNOLOGY IN ARTIFICIAL INTELLIGENCE ERA		Procedia Computer Science		116				556	563		10.1016/j.procs.2017.10.059					2017	2017						2nd International Conference on Computer Science and Computational Intelligence (ICCSCI)2nd International Conference on Computer Science and Computational Intelligence (ICCSCI)	OCT 13-14, 2017OCT 13-14, 2017		Bali, INDONESIABali, INDONESIA	0	0	0	0	0	0			1877-0509		*****************	WOS:000424023700070		
J	Alvizu, Rodolfo; Maier, Guido; Kukreja, Navin; Pattavina, Achille; Morro, Roberto; Capello, Alessandro; Cavazzoni, Carlo								Comprehensive Survey on T-SDN: Software-Defined Networking for Transport Networks								IEEE COMMUNICATIONS SURVEYS AND TUTORIALS				19	4			2232	2283		10.1109/COMST.2017.2715220					2017	2017										19	0	0	0	0	19			1553-877X			WOS:000416509900008		
J	Papastergiou, Giorgos; Fairhurst, Gorry; Ros, David; Brunstrom, Anna; Grinnemo, Karl-Johan; Hurtig, Per; Khademi, Naeem; Tuexen, Michael; Welzl, Michael; Damjanovic, Dragana; Mangiante, Simone				Grinnemo, Karl-Johan/D-9649-2011	Grinnemo, Karl-Johan/0000-0003-4147-9487; Ros, David/0000-0002-6121-3494			De-Ossifying the Internet Transport Layer: A Survey and Future Perspectives								IEEE COMMUNICATIONS SURVEYS AND TUTORIALS				19	1			619	639		10.1109/COMST.2016.2626780					2017	2017										5	0	0	0	0	5			1553-877X			WOS:000395896100024		
J	Neagu, Gabriel; Vrejoiu, Mihnea Horia; Preda, Stefan Alexandru; Stanciu, Alexandru								IOT PLATFORMS - CURRENT SOLUTIONS AND EVOLUTION TRENDS								ROMANIAN JOURNAL OF INFORMATION TECHNOLOGY AND AUTOMATIC CONTROL-REVISTA ROMANA DE INFORMATICA SI AUTOMATICA				27	3			5	18							2017	2017										0	0	0	0	0	0			1220-1758	1841-4303		WOS:000455833800001		
J	Wu, Wei; Khomh, Foutse; Adams, Bram; Gueheneuc, Yann-Gael; Antoniol, Giuliano				Gueheneuc, Yann-Gael/K-9371-2019				An exploratory study of api changes and usages based on apache and eclipse ecosystems								EMPIRICAL SOFTWARE ENGINEERING				21	6			2366	2412		10.1007/s10664-015-9411-7					DEC 2016	2016										10	0	0	0	0	10			1382-3256	1573-7616		WOS:000389085500005		
J	Tiburski, Ramao Tiago; Amaral, Leonardo Albernaz; de Matos, Everton; de Azevedo, Dario F. G.; Hessel, Fabiano				Hessel, Fabiano/M-5971-2018; de Matos, Everton/N-6497-2017; Tiburski, Ramao/N-5499-2017	Hessel, Fabiano/0000-0002-5473-9199; de Matos, Everton/0000-0001-5888-0969; Tiburski, Ramao/0000-0002-7350-5195			THE ROLE OF LIGHTWEIGHT APPROACHES TOWARDS THE STANDARDIZATION OF A SECURITY ARCHITECTURE FOR IOT MIDDLEWARE SYSTEMS								IEEE COMMUNICATIONS MAGAZINE				54	12			56	62		10.1109/MCOM.2016.1600462CM				S	DEC 2016	2016										4	0	0	0	0	4			0163-6804	1558-1896		WOS:000397021500009		
J	Sharma, Aneesh; Jiang, Jerry; Bommannavar, Praveen; Larson, Brian; Lin, Jimmy								GraphJet: Real-Time Content Recommendations at Twitter								PROCEEDINGS OF THE VLDB ENDOWMENT				9	13			1281	1292		10.14778/3007263.3007267					SEP 2016	2016										11	0	0	0	0	11			2150-8097			WOS:000386431200004		
J	Jehl, Peter; Manguy, Jean; Shields, Denis C.; Higgins, Desmond G.; Davey, Norman E.					Manguy, Jean/0000-0002-8427-007X; Higgins, Des/0000-0002-3952-3285; Davey, Norman/0000-0001-6988-4850			ProViz-a web-based visualization tool to investigate the functional and evolutionary features of protein sequences								NUCLEIC ACIDS RESEARCH				44	W1			W11	W15		10.1093/nar/gkw265					JUL 8 2016	2016										13	0	0	11	0	13			0305-1048	1362-4962		WOS:000379786800003	27085803	
J	Dietrich, Jens; Jezek, Kamil; Brada, Premek								What Java developers know about compatibility, and why this matters								EMPIRICAL SOFTWARE ENGINEERING				21	3			1371	1396		10.1007/s10664-015-9389-1					JUN 2016	2016										3	0	0	0	0	3			1382-3256	1573-7616		WOS:000379061700019		
J	Li, Li; Chou, Wu; Zhou, Wei; Luo, Min					Luo, Min/0000-0001-6029-9129			Design Patterns and Extensibility of REST API for Networking Applications								IEEE TRANSACTIONS ON NETWORK AND SERVICE MANAGEMENT				13	1			154	167		10.1109/TNSM.2016.2516946					MAR 2016	2016										7	0	0	0	0	7			1932-4537			WOS:000372652600012		
